detail_id,order_id,product_id,quantity,unit_price
1,1,48,1,5.80
2,1,8,5,39.90
3,2,8,2,39.90
4,2,5,2,18.90
5,2,2,1,799.00
6,2,50,1,6.75
7,3,49,1,9.90
8,3,7,6,21.50
9,3,8,1,39.90
10,3,39,2,8.90
11,4,50,3,6.75
12,4,47,1,3.90
13,4,40,3,6.50
14,4,16,1,12.90
15,4,33,1,7.40
16,5,46,1,26.50
17,5,31,4,8.75
18,5,24,1,7.50
19,5,45,5,37.90
20,5,38,9,34.90
21,6,9,2,64.90
22,7,30,4,4.20
23,7,39,4,8.90
24,8,31,7,8.75
25,9,44,1,21.90
26,9,6,2,72.00
27,9,8,3,39.90
28,10,39,1,8.90
29,10,26,5,32.00
30,11,26,3,32.00
31,11,23,2,8.90
32,11,31,2,8.75
33,11,43,1,17.50
34,12,5,8,18.90
35,12,32,2,6.90
36,12,44,4,21.90
37,12,2,1,799.00
38,13,43,2,17.50
39,13,32,1,6.90
40,14,8,1,39.90
41,14,25,1,14.90
42,14,29,3,9.80
43,14,21,4,11.50
44,14,30,6,4.20
45,15,36,3,24.90
46,15,44,2,21.90
47,15,35,5,10.50
48,16,19,1,58.90
49,16,21,3,11.50
50,17,25,2,14.90
51,17,7,2,21.50
52,17,28,2,36.50
53,18,20,1,42.00
54,19,18,1,69.50
55,19,2,2,799.00
56,19,45,3,37.90
57,19,31,2,8.75
58,19,38,1,34.90
59,20,28,2,36.50
60,20,13,5,45.00
61,21,26,1,32.00
62,21,15,2,119.00
63,21,40,1,6.50
64,21,6,5,72.00
65,21,46,2,26.50
66,21,38,1,34.90
67,22,13,1,45.00
68,22,27,3,48.90
69,22,26,4,32.00
70,23,30,5,4.20
71,23,18,5,69.50
72,23,41,6,41.00
73,23,35,7,10.50
74,24,49,2,9.90
75,24,20,5,42.00
76,24,28,1,36.50
77,24,27,1,48.90
78,25,13,1,45.00
79,26,13,1,45.00
80,26,11,5,89.90
81,26,18,3,69.50
82,26,9,1,64.90
83,26,2,5,799.00
84,27,27,7,48.90
85,27,24,4,7.50
86,27,43,1,17.50
87,27,6,1,72.00
88,27,26,4,32.00
89,28,39,1,8.90
90,29,7,1,21.50
91,29,12,1,24.90
92,30,35,2,10.50
93,31,20,1,42.00
94,31,2,4,799.00
95,31,42,5,29.90
96,31,39,1,8.90
97,32,44,5,21.90
98,32,8,2,39.90
99,32,35,6,10.50
100,32,16,2,12.90
101,33,50,4,6.75
102,33,42,1,29.90
103,33,27,1,48.90
104,34,7,1,21.50
105,34,11,2,89.90
106,34,45,4,37.90
107,34,17,3,39.90
108,34,33,2,7.40
109,35,20,3,42.00
110,35,21,1,11.50
111,36,21,1,11.50
112,36,29,1,9.80
113,36,31,3,8.75
114,36,48,2,5.80
115,37,15,3,119.00
116,37,2,6,799.00
117,37,36,8,24.90
118,37,42,1,29.90
119,37,40,4,6.50
120,38,37,1,22.50
121,38,8,3,39.90
122,39,18,4,69.50
123,39,19,2,58.90
124,40,12,5,24.90
125,40,27,1,48.90
126,41,21,4,11.50
127,41,45,4,37.90
128,41,26,4,32.00
129,42,39,8,8.90
130,42,43,3,17.50
131,43,36,1,24.90
132,44,34,1,3.60
133,44,28,1,36.50
134,45,19,2,58.90
135,45,17,6,39.90
136,45,40,2,6.50
137,45,49,10,9.90
138,45,34,4,3.60
139,46,15,1,119.00
140,47,46,2,26.50
141,47,36,2,24.90
142,48,11,3,89.90
143,48,48,1,5.80
144,49,27,4,48.90
145,49,5,4,18.90
146,49,16,6,12.90
147,50,21,2,11.50
148,50,10,3,52.75
149,50,2,1,799.00
150,50,6,3,72.00
151,50,30,2,4.20
152,50,43,1,17.50
153,51,42,2,29.90
154,52,26,4,32.00
155,52,6,2,72.00
156,52,2,4,799.00
157,52,14,3,28.90
158,52,11,1,89.90
159,52,25,2,14.90
160,53,24,3,7.50
161,54,24,2,7.50
162,54,40,2,6.50
163,54,12,1,24.90
164,55,42,2,29.90
165,55,34,2,3.60
166,55,6,6,72.00
167,56,19,3,58.90
168,56,37,6,22.50
169,56,4,3,44.50
170,57,48,3,5.80
171,58,38,2,34.90
172,58,47,4,3.90
173,59,39,1,8.90
174,60,30,8,4.20
175,60,45,3,37.90
176,60,26,2,32.00
177,60,43,3,17.50
178,61,9,1,64.90
179,62,42,5,29.90
180,62,16,5,12.90
181,62,28,3,36.50
182,63,48,1,5.80
183,63,45,2,37.90
184,63,29,1,9.80
185,63,32,2,6.90
186,63,31,5,8.75
187,64,48,10,5.80
188,64,38,1,34.90
189,64,39,2,8.90
190,64,47,3,3.90
191,64,36,4,24.90
192,65,21,1,11.50
193,65,36,3,24.90
194,65,5,6,18.90
195,66,13,2,45.00
196,66,31,1,8.75
197,67,46,7,26.50
198,67,25,5,14.90
199,68,48,3,5.80
200,68,6,1,72.00
201,69,4,2,44.50
202,69,2,1,799.00
203,70,8,1,39.90
204,70,40,3,6.50
205,71,10,3,52.75
206,71,45,1,37.90
207,71,33,1,7.40
208,72,7,3,21.50
209,72,36,1,24.90
210,72,3,1,59.90
211,73,42,2,29.90
212,74,31,2,8.75
213,75,10,4,52.75
214,75,49,1,9.90
215,75,34,2,3.60
216,75,27,6,48.90
217,76,50,5,6.75
218,76,1,7,349.90
219,76,46,1,26.50
220,77,42,8,29.90
221,77,10,9,52.75
222,77,37,5,22.50
223,77,4,5,44.50
224,78,23,5,8.90
225,78,1,6,349.90
